experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,search_round,arch_pattern,wavelet_family,n_stacks_requested,meta_predicted_best,meta_convergence_score
search_r1,DB2_trmix_s20_d4_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,20,1,True,0,42,25.105274,7.161464,1502.671265,6429302.500000,1.669161,1.961835,13.619823,10145330,12.77,2,False,False,ReLU,MAX_EPOCHS,24.92412949,24.92412949,21.35400963,1,1.000000,False,"[""48.26365280"", ""24.92412949""]",4,0,1,trend_mixed,DB2WaveletV3,20,,
search_r1,DB2_trmix_s20_d8_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,20,1,True,0,42,27.164480,8.223645,1683.961914,6779930.500000,1.865806,2.036479,11.996503,10176050,13.34,2,False,False,ReLU,MAX_EPOCHS,26.29200554,26.29200554,20.84545517,1,1.000000,False,"[""29.63820648"", ""26.29200554""]",8,0,1,trend_mixed,DB2WaveletV3,20,,
search_r1,DB2_trmix_s20_d16_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,20,1,True,0,42,29.198902,9.124603,1824.687622,7764674.500000,2.041408,2.368895,17.642588,10217010,13.38,2,False,False,ReLU,MAX_EPOCHS,27.49343681,27.49343681,18.78383064,1,1.000000,False,"[""36.42414474"", ""27.49343681""]",16,0,1,trend_mixed,DB2WaveletV3,20,,
search_r1,DB2_trmix_s30_d4_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,27.434673,8.255188,1707.382568,7696324.000000,1.878041,2.273899,18.110254,15217995,20.00,2,False,False,ReLU,MAX_EPOCHS,26.85397339,26.85397339,18.05442429,1,1.000000,False,"[""39.92473984"", ""26.85397339""]",4,0,1,trend_mixed,DB2WaveletV3,30,,
search_r1,DB2_trmix_s30_d8_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,31.358095,10.246780,2000.717163,8969261.000000,2.248660,2.536419,19.649244,15264075,20.49,2,False,False,ReLU,MAX_EPOCHS,30.49048042,30.49048042,20.48421478,1,1.000000,False,"[""41.52280045"", ""30.49048042""]",8,0,1,trend_mixed,DB2WaveletV3,30,,
search_r1,DB2_trmix_s30_d16_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,25.708359,7.421559,1551.074829,6719626.500000,1.720338,1.965985,13.224038,15325515,20.07,2,False,False,ReLU,MAX_EPOCHS,25.59844017,25.59844017,23.39183235,1,1.000000,False,"[""52.14617538"", ""25.59844017""]",16,0,1,trend_mixed,DB2WaveletV3,30,,
search_r1,DB2_tsmix_s30_d4_o0,search_round1,"['Trend', 'Seasonality', 'DB2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,54.479599,26.221314,4576.908203,47294492.000000,4.965967,6.374507,131.546158,137367090,93.47,2,False,False,ReLU,MAX_EPOCHS,49.78308868,49.78308868,67.43806458,1,1.000000,False,"[""189.92950439"", ""49.78308868""]",4,0,1,trend_season_mixed,DB2WaveletV3,30,,
search_r1,DB2_tsmix_s30_d8_o0,search_round1,"['Trend', 'Seasonality', 'DB2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,62.514503,27.198297,5452.787109,92259768.000000,5.334725,6.499080,217.431046,137397810,94.61,2,False,False,ReLU,MAX_EPOCHS,67.45230865,67.45230865,126.61965179,1,1.000000,False,"[""199.75865173"", ""67.45230865""]",8,0,1,trend_season_mixed,DB2WaveletV3,30,,
search_r1,DB2_tsmix_s30_d16_o0,search_round1,"['Trend', 'Seasonality', 'DB2WaveletV3']",Yearly,1,6,30,30,1,True,0,42,109.154358,46.861314,8879.618164,211332832.000000,9.235676,10.888847,508.422333,137438770,95.68,2,False,False,ReLU,MAX_EPOCHS,117.71202087,117.71202087,131.51765442,1,1.000000,False,"[""191.40905762"", ""117.71202087""]",16,0,1,trend_season_mixed,DB2WaveletV3,30,,
search_r1,DB3_homog_s10_d4_o0,search_round1,['DB3WaveletV3'],Yearly,1,6,30,10,1,True,0,42,94.402626,21.772495,4053.975586,35206828.000000,5.627711,4.507146,53.609425,8079360,9.25,2,False,False,ReLU,MAX_EPOCHS,93.44820404,93.44820404,110.20085907,1,1.000000,False,"[""105.55952454"", ""93.44820404""]",4,0,1,homogeneous,DB3WaveletV3,10,,
