experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,BottleneckGenericAE_ld2_td5_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,18.361259,4.648399,1100.005371,4255032.000000,1.146633,1.125535,3.952374,1435470,256,5.34,8,forecast,False,ReLU,MAX_EPOCHS,21.07703018,21.07703018,14.77507019,7,1.000000,False,"[""51.11476517"", ""33.76421738"", ""31.33975792"", ""29.42068481"", ""27.81527901"", ""24.58448029"", ""22.88756561"", ""21.07703018""]",1,BottleneckGenericAE,2,5
ae_pure_r1,BottleneckGenericAE_ld2_td5_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,1,43,19.569992,5.361894,1167.234619,4346987.000000,1.273386,1.352766,5.752644,1435470,256,5.32,8,forecast,False,ReLU,MAX_EPOCHS,19.85651398,19.85651398,14.37059212,7,1.000000,False,"[""39.37300873"", ""31.70396423"", ""28.25002670"", ""26.54690552"", ""25.63207817"", ""21.47714424"", ""20.52344322"", ""19.85651398""]",1,BottleneckGenericAE,2,5
ae_pure_r1,BottleneckGenericAE_ld2_td5_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,2,44,19.583700,5.263026,1173.587891,4506589.000000,1.261366,1.336343,5.656997,1435470,256,5.30,8,forecast,False,ReLU,MAX_EPOCHS,20.74040413,20.74040413,13.55451679,7,1.000000,False,"[""64.78937531"", ""34.95494843"", ""30.71878815"", ""28.44042587"", ""29.53046799"", ""22.43468666"", ""21.97344017"", ""20.74040413""]",1,BottleneckGenericAE,2,5
ae_pure_r1,BottleneckGenericAE_ld2_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,46.975933,12.887256,2566.227539,31438546.000000,3.058722,2.707241,41.089230,1451940,256,5.30,8,False,False,ReLU,MAX_EPOCHS,47.99962616,47.99962616,45.88639450,7,1.000000,False,"[""99.58148193"", ""63.90663528"", ""57.68452835"", ""60.46521378"", ""55.59775162"", ""50.99787903"", ""52.75418854"", ""47.99962616""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,1,43,21.029226,5.714564,1266.490479,4929668.500000,1.362404,1.359978,5.962961,1451940,256,5.31,8,False,False,ReLU,MAX_EPOCHS,21.72260666,24.71510124,23.15697289,6,1.137759,False,"[""115.11265564"", ""86.56469727"", ""64.32112122"", ""46.59537506"", ""27.42823601"", ""23.73191643"", ""21.72260666"", ""24.71510124""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,2,44,21.851042,6.067635,1305.251953,5070121.500000,1.431971,1.467118,6.453855,1451940,256,5.35,8,False,False,ReLU,MAX_EPOCHS,22.37667656,22.37667656,17.92732620,7,1.000000,False,"[""53.12253189"", ""45.44840622"", ""34.02651978"", ""33.85067749"", ""32.67843628"", ""27.60649681"", ""22.89577484"", ""22.37667656""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,20.589714,5.832043,1261.164795,4922204.000000,1.363738,1.533914,8.331234,1451940,256,5.31,8,forecast,False,ReLU,MAX_EPOCHS,21.00991249,21.00991249,15.19584084,7,1.000000,False,"[""59.43020248"", ""32.32727814"", ""27.93324280"", ""39.22644424"", ""26.08653450"", ""24.05835533"", ""21.48813438"", ""21.00991249""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,1,43,20.924171,5.857482,1270.730591,4871682.000000,1.377172,1.451671,6.692331,1451940,256,5.33,8,forecast,False,ReLU,MAX_EPOCHS,21.42765236,21.42765236,15.04380894,7,1.000000,False,"[""53.97776794"", ""29.60461235"", ""27.19888306"", ""35.66201019"", ""23.93949699"", ""22.29311562"", ""22.02830124"", ""21.42765236""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,2,44,19.658506,5.174674,1162.866333,4438675.000000,1.252538,1.271845,4.990086,1451940,256,5.33,8,forecast,False,ReLU,MAX_EPOCHS,20.86724854,20.86724854,16.09240341,7,1.000000,False,"[""46.39577866"", ""36.21440887"", ""31.48900223"", ""25.10006332"", ""34.00054932"", ""23.22824097"", ""21.57192039"", ""20.86724854""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld2_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,20.497337,5.372519,1218.741333,4739110.500000,1.303095,1.247958,4.605071,1462920,256,5.34,8,False,False,ReLU,MAX_EPOCHS,22.17829132,22.17829132,17.56313324,7,1.000000,False,"[""72.33787537"", ""42.65386200"", ""30.69309044"", ""35.19491577"", ""34.46044159"", ""32.95287323"", ""24.72108078"", ""22.17829132""]",1,BottleneckGenericAE,2,10
