experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,BottleneckGenericAE_ld8_td5_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,68.976196,1.844216,28.761190,4223.808105,nan,0.745241,1.939796,1893570,256,80.32,8,forecast,False,ReLU,MAX_EPOCHS,47.76808167,47.76808167,57.79878616,7,1.000000,False,"[""58.68267059"", ""53.66698456"", ""50.33180618"", ""48.73562241"", ""48.86440659"", ""48.45467758"", ""47.84628677"", ""47.76808167""]",1,BottleneckGenericAE,8,5
ae_pure_r1,BottleneckGenericAE_ld2_td10_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,67.927948,1.518049,25.215685,4095.772461,nan,0.589841,1.222211,1902840,256,77.53,8,forecast,False,ReLU,MAX_EPOCHS,46.67023849,46.84552765,57.49744034,6,1.003756,False,"[""54.16013718"", ""50.59899521"", ""49.26009369"", ""48.06711578"", ""48.47734451"", ""47.54804993"", ""46.67023849"", ""46.84552765""]",1,BottleneckGenericAE,2,10
ae_pure_r1,BottleneckGenericAE_ld8_td5_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,66.858498,1.355668,23.047832,3399.326904,nan,0.531819,0.886774,1893570,256,76.87,8,forecast,False,ReLU,MAX_EPOCHS,47.09667969,47.09667969,57.48802948,7,1.000000,False,"[""58.80919266"", ""51.73704910"", ""49.74222565"", ""48.79179764"", ""48.45930862"", ""47.74568558"", ""47.29698181"", ""47.09667969""]",1,BottleneckGenericAE,8,5
ae_pure_r1,BottleneckGenericAE_ld2_td10_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,68.438797,1.700953,24.268513,3214.046875,nan,0.670342,1.635727,1902840,256,79.53,8,forecast,False,ReLU,MAX_EPOCHS,46.70225906,46.82943344,57.89458847,6,1.002723,False,"[""54.80179596"", ""50.18159103"", ""48.95355988"", ""50.79849243"", ""47.85791016"", ""47.63538361"", ""46.70225906"", ""46.82943344""]",1,BottleneckGenericAE,2,10
ae_pure_r1,BottleneckGenericAE_ld8_td5_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,66.854897,1.425494,24.832233,3605.371826,nan,0.575293,0.994303,1893570,256,80.48,8,forecast,False,ReLU,MAX_EPOCHS,46.78886414,46.78886414,57.93484879,7,1.000000,False,"[""59.49122238"", ""51.85124588"", ""50.33674240"", ""48.73074341"", ""47.67288589"", ""48.01260757"", ""47.75534058"", ""46.78886414""]",1,BottleneckGenericAE,8,5
ae_pure_r1,BottleneckGenericAE_ld4_td3_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,85.686264,8.414268,74.386513,92233.507812,nan,3.730989,503.955719,1857030,256,78.31,8,False,False,ReLU,MAX_EPOCHS,70.09290314,70.09290314,78.15541077,7,1.000000,False,"[""113.46104431"", ""102.83754730"", ""95.94760132"", ""88.13497925"", ""80.68475342"", ""76.98285675"", ""73.73432159"", ""70.09290314""]",1,BottleneckGenericAE,4,3
ae_pure_r1,BottleneckGenericAE_ld8_td5_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,77.537605,5.082918,49.724174,47807.960938,nan,2.204450,253.155396,1893570,256,78.34,8,False,False,ReLU,MAX_EPOCHS,58.66237640,58.66237640,67.47106934,7,1.000000,False,"[""93.30938721"", ""79.00727844"", ""72.18939209"", ""68.84926605"", ""66.73176575"", ""63.59819794"", ""61.04956818"", ""58.66237640""]",1,BottleneckGenericAE,8,5
ae_pure_r1,BottleneckGenericAE_ld4_td3_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,81.001060,6.686057,60.485130,56941.207031,nan,2.911163,301.529724,1857030,256,81.72,8,False,False,ReLU,MAX_EPOCHS,63.79875946,63.79875946,72.50435638,7,1.000000,False,"[""103.96154785"", ""93.00772858"", ""85.77471924"", ""77.06928253"", ""73.37614441"", ""69.60409546"", ""65.48991394"", ""63.79875946""]",1,BottleneckGenericAE,4,3
ae_pure_r1,BottleneckGenericAE_ld8_td5_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,71.766113,2.757783,33.108318,14162.926758,nan,1.153061,59.967701,1893570,256,82.01,8,False,False,ReLU,MAX_EPOCHS,51.16146088,51.16146088,60.76187897,7,1.000000,False,"[""91.26990509"", ""80.88389587"", ""73.79093933"", ""66.34665680"", ""59.41435623"", ""56.84830475"", ""52.07883835"", ""51.16146088""]",1,BottleneckGenericAE,8,5
ae_pure_r1,BottleneckGenericAE_ld4_td3_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,89.036575,10.372382,83.785423,120871.859375,nan,4.495264,668.025879,1857030,256,80.27,8,False,False,ReLU,MAX_EPOCHS,71.36155701,71.36155701,80.04067993,7,1.000000,False,"[""119.71714783"", ""102.00405121"", ""92.18188477"", ""87.18609619"", ""83.97256470"", ""79.95532227"", ""76.24950409"", ""71.36155701""]",1,BottleneckGenericAE,4,3
