model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample
NHiTSNet,Pool-2x2x1_Freq-1x1x1,weather,96,480,3,1,1,2,0.180922,0.232771,2208.23999,14.688911,64.697037,3495936,668.33,26,EARLY_STOPPED,0.43081689,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,192,960,3,1,0,1,0.269675,0.311143,3963.86792,17.369076,77.872681,4188672,696.93,26,EARLY_STOPPED,0.55407566,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,192,960,3,1,1,2,0.283547,0.322319,4537.375488,18.789698,80.641457,4188672,697.05,26,EARLY_STOPPED,0.55367094,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,192,960,3,1,1,2,0.265437,0.309603,3727.453613,17.669527,80.17672,4196352,685.99,26,EARLY_STOPPED,0.54744518,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,192,960,3,1,0,1,0.26672,0.309233,3880.394287,17.307949,78.320816,4196352,713.26,27,EARLY_STOPPED,0.55421776,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,192,960,3,1,0,1,0.274252,0.317273,3667.85498,17.696815,79.362762,4380672,665.09,26,EARLY_STOPPED,0.56020838,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,192,960,3,1,1,2,0.28088,0.325183,4045.894043,18.645788,80.367126,4380672,665.46,26,EARLY_STOPPED,0.56276846,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x1_Freq-168x24x1,weather,192,960,3,1,1,2,0.273375,0.314522,3981.426025,17.337847,79.752983,4434432,715.59,27,EARLY_STOPPED,0.55666405,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-2x2x1_Freq-168x24x1,weather,192,960,3,1,0,1,0.275413,0.313052,4094.114502,17.435799,78.705696,4434432,742.32,28,EARLY_STOPPED,0.55911613,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-2x2x1_Freq-24x12x1,weather,192,960,3,1,1,2,0.273492,0.312385,3941.799805,17.568726,76.327202,4442112,710.55,26,EARLY_STOPPED,0.55457109,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[24, 12, 1]"
