model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample,sampling_style,steps_per_epoch,sampling_weights
NHiTSSliding,NHiTS-TrendAE+DB3V3AE+TrendAE,weather,96,480,3,1,2,3,0.164330,0.219071,2291.123047,14.719085,62.616531,560694,81.62,6,MAX_EPOCHS,0.40606260,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'DB3WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+DB3V3AE+TrendAE,weather,96,480,3,1,3,4,0.161386,0.220562,2350.609863,15.282341,65.516151,560694,85.76,6,MAX_EPOCHS,0.40290445,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'DB3WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+DB3V3AE+TrendAE,weather,96,480,3,1,4,5,0.161674,0.218834,2183.076172,14.467044,63.781910,560694,85.88,6,MAX_EPOCHS,0.40835124,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'DB3WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+TrendAE,weather,96,480,3,1,0,1,0.163755,0.220385,2265.384277,14.737402,64.548775,560694,85.59,6,MAX_EPOCHS,0.41145527,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+TrendAE,weather,96,480,3,1,1,2,0.165503,0.229108,2270.322510,15.077099,68.089752,560694,86.93,6,MAX_EPOCHS,0.41194493,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+TrendAE,weather,96,480,3,1,2,3,0.161402,0.218623,2331.924805,15.027446,62.889385,560694,84.15,6,MAX_EPOCHS,0.41068107,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+TrendAE,weather,96,480,3,1,3,4,0.162366,0.217797,2243.223877,14.583132,62.301361,560694,85.25,6,MAX_EPOCHS,0.40865842,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+TrendAE,weather,96,480,3,1,4,5,0.160111,0.216620,2175.289307,14.397553,62.576900,560694,87.01,6,MAX_EPOCHS,0.41002584,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Symlet10WaveletV3AE+TrendAE,weather,96,480,3,1,0,1,0.163905,0.222311,2426.890869,15.607250,65.330223,560694,85.94,6,MAX_EPOCHS,0.40683144,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Symlet10WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Symlet10WaveletV3AE+TrendAE,weather,96,480,3,1,1,2,0.162141,0.221128,2242.184326,14.723932,61.885635,560694,81.32,6,MAX_EPOCHS,0.40508264,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Symlet10WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Symlet10WaveletV3AE+TrendAE,weather,96,480,3,1,2,3,0.162309,0.219056,2270.989502,14.817071,62.067299,560694,81.80,6,MAX_EPOCHS,0.40393770,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Symlet10WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Symlet10WaveletV3AE+TrendAE,weather,96,480,3,1,3,4,0.164716,0.228529,2433.346680,15.930463,68.325447,560694,85.78,6,MAX_EPOCHS,0.40343386,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Symlet10WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Symlet10WaveletV3AE+TrendAE,weather,96,480,3,1,4,5,0.162674,0.220574,2254.518066,14.785420,65.818008,560694,85.78,6,MAX_EPOCHS,0.40620926,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Symlet10WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+HaarV3AE+TrendAE,weather,96,480,3,1,0,1,0.164819,0.224179,2317.306152,15.183083,67.914749,560694,85.45,6,MAX_EPOCHS,0.40668732,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+HaarV3AE+TrendAE,weather,96,480,3,1,1,2,0.166566,0.233150,2518.260498,16.410210,68.397064,560694,85.90,6,MAX_EPOCHS,0.41248825,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+HaarV3AE+TrendAE,weather,96,480,3,1,2,3,0.162400,0.219425,2243.392334,14.721499,62.985958,560694,85.94,6,MAX_EPOCHS,0.40603018,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+HaarV3AE+TrendAE,weather,96,480,3,1,3,4,0.160712,0.218738,2213.035156,14.423395,61.796616,560694,86.92,6,MAX_EPOCHS,0.40021443,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+HaarV3AE+TrendAE,weather,96,480,3,1,4,5,0.162223,0.221334,2214.294678,15.008985,65.593483,560694,86.07,6,MAX_EPOCHS,0.40229988,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+HaarWaveletV3AE,weather,96,480,3,1,0,1,0.161519,0.219649,2269.313721,14.781866,63.129211,822579,85.61,6,MAX_EPOCHS,0.40875909,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+HaarWaveletV3AE,weather,96,480,3,1,1,2,0.164520,0.221968,2298.354004,15.551222,64.546509,822579,82.04,6,MAX_EPOCHS,0.41086003,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+HaarWaveletV3AE,weather,96,480,3,1,2,3,0.166848,0.230473,2387.244873,15.585718,68.810539,822579,84.02,6,MAX_EPOCHS,0.40956670,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'HaarWaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2V3AE+HaarWaveletV3AE,weather,96,480,3,1,3,4,0.162193,0.219665,2330.792236,14.824272,65.311340,822579,84.61,6,MAX_EPOCHS,0.40852308,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'HaarWaveletV3AE']",,,sliding,,uniform
